,CustomerID,Prefix,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,AnnualIncome,TotalChildren,EducationLevel,Occupation,HomeOwner,SegmentID,Account_Creation,Segment
0,11000,MR.,JON,YANG,1966-04-08,M,M,jon24@adventure-works.com,"$90,000 ",2,Bachelors,Professional,Y,3,2016-07-22,Consumer
1,11001,MR.,EUGENE,HUANG,1965-05-14,S,M,eugene10@adventure-works.com,"$60,000 ",3,Bachelors,Professional,N,3,2016-07-20,Consumer
2,11002,MR.,RUBEN,TORRES,1965-08-12,M,M,ruben35@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y,3,2016-07-04,Consumer
3,11003,MS.,CHRISTY,ZHU,1968-02-15,S,F,christy12@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,3,2016-07-09,Consumer
4,11004,MRS.,ELIZABETH,JOHNSON,1968-08-08,S,F,elizabeth5@adventure-works.com,"$80,000 ",5,Bachelors,Professional,Y,3,2016-07-26,Consumer
5,11005,MR.,JULIO,RUIZ,1965-08-05,S,M,julio1@adventure-works.com,"$70,000 ",0,Bachelors,Professional,Y,3,2016-07-27,Consumer
6,11007,MR.,MARCO,MEHTA,1964-05-09,M,M,marco14@adventure-works.com,"$60,000 ",3,Bachelors,Professional,Y,3,2016-07-25,Consumer
7,11008,MRS.,ROBIN,VERHOFF,1964-07-07,S,F,rob4@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y,3,2016-07-07,Consumer
8,11009,MR.,SHANNON,CARLSON,1964-04-01,S,M,shannon38@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,3,2016-07-24,Consumer
9,11010,MS.,JACQUELYN,SUAREZ,1964-02-06,S,F,jacquelyn20@adventure-works.com,"$70,000 ",0,Bachelors,Professional,N,3,2016-07-15,Consumer
10,11011,MR.,CURTIS,LU,1963-11-04,M,M,curtis9@adventure-works.com,"$60,000 ",4,Bachelors,Professional,Y,3,2016-07-29,Consumer
11,11012,MRS.,LAUREN,WALKER,1968-01-18,M,F,lauren41@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y,3,2016-09-17,Consumer
12,11013,MR.,IAN,JENKINS,1968-08-06,M,M,ian47@adventure-works.com,"$100,000 ",2,Bachelors,Management,Y,3,2016-10-15,Consumer
13,11014,MRS.,SYDNEY,BENNETT,1968-05-09,S,F,sydney23@adventure-works.com,"$100,000 ",3,Bachelors,Management,N,3,2016-09-24,Consumer
14,11016,MR.,WYATT,HILL,1979-04-28,M,M,wyatt32@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y,3,2016-08-13,Consumer
15,11017,MRS.,SHANNON,WANG,1944-06-26,S,F,shannon1@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,3,2016-07-05,Consumer
16,11018,MR.,CLARENCE,RAI,1944-10-09,S,M,clarence32@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,3,2016-07-20,Consumer
17,11019,MR.,LUKE,LAL,1978-03-07,S,M,luke18@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,3,2016-08-16,Consumer
18,11020,MR.,JORDAN,KING,1978-09-20,S,M,jordan73@adventure-works.com,"$40,000 ",0,High School,Skilled Manual,N,3,2016-07-02,Consumer
19,11021,MS.,DESTINY,WILSON,1978-09-03,S,F,destiny7@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,N,3,2016-07-27,Consumer
20,11022,MR.,ETHAN,ZHANG,1978-10-12,M,M,ethan20@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y,3,2016-07-24,Consumer
21,11023,MR.,SETH,EDWARDS,1978-10-11,M,M,seth46@adventure-works.com,"$40,000 ",0,Partial College,Skilled Manual,Y,3,2016-08-21,Consumer
22,11024,MR.,RUSSELL,XIE,1978-09-17,M,M,russell7@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,3,2016-12-29,Consumer
23,11025,,ALEJANDRO,BECK,1945-12-23,M,,alejandro45@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,3,2016-07-24,Consumer
24,11026,MR.,HAROLD,SAI,1946-04-03,S,M,harold3@adventure-works.com,"$30,000 ",2,Partial College,Clerical,N,3,2016-09-28,Consumer
25,11028,MRS.,JILL,JIMENEZ,1946-04-11,M,F,jill13@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,3,2016-11-14,Consumer
26,11029,MR.,JIMMY,MORENO,1946-12-21,M,M,jimmy9@adventure-works.com,"$30,000 ",2,Partial College,Clerical,Y,3,2016-11-02,Consumer
27,11030,MRS.,BETHANY,YUAN,1947-02-22,M,F,bethany10@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,3,2017-01-25,Consumer
28,11031,MRS.,THERESA,RAMOS,1947-08-22,M,F,theresa13@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,3,2017-01-16,Consumer
29,11033,MR.,JAIME,NATH,1947-09-23,M,M,jaime41@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,3,2017-02-02,Consumer
30,11034,MRS.,EBONY,GONZALEZ,1947-06-19,M,F,ebony19@adventure-works.com,"$20,000 ",4,High School,Skilled Manual,Y,3,2017-02-07,Consumer
31,11035,,WENDY,DOMINGUEZ,1948-02-24,M,,wendy12@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,3,2017-03-13,Consumer
32,11036,MS.,JENNIFER,RUSSELL,1978-12-18,M,F,jennifer93@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,3,2016-07-26,Consumer
33,11037,MS.,CHLOE,GARCIA,1977-11-27,S,F,chloe27@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,N,3,2016-07-24,Consumer
34,11038,MRS.,DIANA,HERNANDEZ,1948-03-23,M,F,diana2@adventure-works.com,"$10,000 ",2,Partial High School,Clerical,Y,3,2017-03-04,Consumer
35,11039,MR.,MARC,MARTIN,1948-12-17,M,M,marc3@adventure-works.com,"$30,000 ",3,Partial College,Clerical,Y,3,2017-03-23,Consumer
36,11040,MR.,JESSE,MURPHY,1977-08-01,M,M,jesse15@adventure-works.com,"$30,000 ",0,Partial College,Skilled Manual,Y,3,2016-10-05,Consumer
37,11041,MS.,AMANDA,CARTER,1977-10-16,M,F,amanda53@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,3,2016-07-18,Consumer
38,11042,MS.,MEGAN,SANCHEZ,1977-06-13,M,F,megan28@adventure-works.com,"$70,000 ",0,Partial College,Skilled Manual,Y,3,2016-07-25,Consumer
39,11043,MR.,NATHAN,SIMMONS,1976-02-24,M,M,nathan11@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,Y,3,2016-11-09,Consumer
40,11044,MR.,ADAM,FLORES,1949-05-24,M,M,adam10@adventure-works.com,"$20,000 ",2,Partial High School,Clerical,Y,3,2017-05-07,Consumer
41,11045,MR.,LEONARD,NARA,1950-05-19,S,M,leonard18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N,3,2016-10-12,Consumer
42,11046,MRS.,CHRISTINE,YUAN,1950-03-22,M,F,christine4@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y,3,2017-05-01,Consumer
43,11047,MRS.,JACLYN,LU,1950-02-27,M,F,jaclyn12@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N,3,2017-05-07,Consumer
44,11048,MR.,JEREMY,POWELL,1950-11-22,M,M,jeremy26@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y,3,2017-05-17,Consumer
45,11049,MS.,CAROL,RAI,1980-07-18,S,F,carol8@adventure-works.com,"$40,000 ",0,Partial High School,Clerical,Y,3,2016-09-10,Consumer
46,11050,MR.,ALAN,ZHENG,1951-09-07,M,M,alan23@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,Y,3,2016-09-17,Consumer
47,11051,MR.,DANIEL,JOHNSON,1951-08-04,S,M,daniel18@adventure-works.com,"$30,000 ",3,High School,Skilled Manual,N,3,2015-09-25,Consumer
48,11052,MRS.,HEIDI,LOPEZ,1951-08-07,S,F,heidi19@adventure-works.com,"$40,000 ",2,Partial College,Clerical,N,3,2016-07-25,Consumer
49,11053,MS.,ANA,PRICE,1980-08-20,M,F,ana0@adventure-works.com,"$60,000 ",0,Partial College,Skilled Manual,N,3,2016-07-21,Consumer
